/home/lixiaolou/data/processed
00000774	cnvsrc-single/dev/video/00000774.mp4	cnvsrc-single/dev/audio/00000774.wav	423	270720
00019150	cnvsrc-single/dev/video/00019150.mp4	cnvsrc-single/dev/audio/00019150.wav	190	121600
00015677	cnvsrc-single/dev/video/00015677.mp4	cnvsrc-single/dev/audio/00015677.wav	434	277760
00002253	cnvsrc-single/dev/video/00002253.mp4	cnvsrc-single/dev/audio/00002253.wav	93	59520
00015374	cnvsrc-single/dev/video/00015374.mp4	cnvsrc-single/dev/audio/00015374.wav	423	270720
00008910	cnvsrc-single/dev/video/00008910.mp4	cnvsrc-single/dev/audio/00008910.wav	69	44160
00009873	cnvsrc-single/dev/video/00009873.mp4	cnvsrc-single/dev/audio/00009873.wav	100	64000
00008031	cnvsrc-single/dev/video/00008031.mp4	cnvsrc-single/dev/audio/00008031.wav	212	135680
00006124	cnvsrc-single/dev/video/00006124.mp4	cnvsrc-single/dev/audio/00006124.wav	328	209920
00001419	cnvsrc-single/dev/video/00001419.mp4	cnvsrc-single/dev/audio/00001419.wav	402	257280
00020647	cnvsrc-single/dev/video/00020647.mp4	cnvsrc-single/dev/audio/00020647.wav	43	27520
00007331	cnvsrc-single/dev/video/00007331.mp4	cnvsrc-single/dev/audio/00007331.wav	415	265600
00017921	cnvsrc-single/dev/video/00017921.mp4	cnvsrc-single/dev/audio/00017921.wav	390	249600
00002433	cnvsrc-single/dev/video/00002433.mp4	cnvsrc-single/dev/audio/00002433.wav	53	33920
00013388	cnvsrc-single/dev/video/00013388.mp4	cnvsrc-single/dev/audio/00013388.wav	545	348800
00017148	cnvsrc-single/dev/video/00017148.mp4	cnvsrc-single/dev/audio/00017148.wav	311	199040
00020207	cnvsrc-single/dev/video/00020207.mp4	cnvsrc-single/dev/audio/00020207.wav	403	257920
00014425	cnvsrc-single/dev/video/00014425.mp4	cnvsrc-single/dev/audio/00014425.wav	192	122880
00020546	cnvsrc-single/dev/video/00020546.mp4	cnvsrc-single/dev/audio/00020546.wav	329	210560
00011193	cnvsrc-single/dev/video/00011193.mp4	cnvsrc-single/dev/audio/00011193.wav	427	273280
00006300	cnvsrc-single/dev/video/00006300.mp4	cnvsrc-single/dev/audio/00006300.wav	307	196480
00015462	cnvsrc-single/dev/video/00015462.mp4	cnvsrc-single/dev/audio/00015462.wav	140	89600
00000149	cnvsrc-single/dev/video/00000149.mp4	cnvsrc-single/dev/audio/00000149.wav	399	255360
00003776	cnvsrc-single/dev/video/00003776.mp4	cnvsrc-single/dev/audio/00003776.wav	133	85120
00001782	cnvsrc-single/dev/video/00001782.mp4	cnvsrc-single/dev/audio/00001782.wav	409	261760
00013997	cnvsrc-single/dev/video/00013997.mp4	cnvsrc-single/dev/audio/00013997.wav	385	246400
00004596	cnvsrc-single/dev/video/00004596.mp4	cnvsrc-single/dev/audio/00004596.wav	386	247040
