/home/lixiaolou/data/processed/
80192083	cnvsrc-multi/dev/video/80192083.mp4	cnvsrc-multi/dev/audio/80192083.wav	69	42480
80083190	cnvsrc-multi/dev/video/80083190.mp4	cnvsrc-multi/dev/audio/80083190.wav	63	38688
v0090005	cnvsrc-multi/dev/video/v0090005.mp4	cnvsrc-multi/dev/audio/v0090005.wav	414	264960
80223204	cnvsrc-multi/dev/video/80223204.mp4	cnvsrc-multi/dev/audio/80223204.wav	59	36128
v0080173	cnvsrc-multi/dev/video/v0080173.mp4	cnvsrc-multi/dev/audio/v0080173.wav	193	123520
80130022	cnvsrc-multi/dev/video/80130022.mp4	cnvsrc-multi/dev/audio/80130022.wav	97	60640
v0070114	cnvsrc-multi/dev/video/v0070114.mp4	cnvsrc-multi/dev/audio/v0070114.wav	83	53120
v0100246	cnvsrc-multi/dev/video/v0100246.mp4	cnvsrc-multi/dev/audio/v0100246.wav	107	68480
80030114	cnvsrc-multi/dev/video/80030114.mp4	cnvsrc-multi/dev/audio/80030114.wav	66	40592
v0170054	cnvsrc-multi/dev/video/v0170054.mp4	cnvsrc-multi/dev/audio/v0170054.wav	387	247680
80152021	cnvsrc-multi/dev/video/80152021.mp4	cnvsrc-multi/dev/audio/80152021.wav	90	56288
v0060032	cnvsrc-multi/dev/video/v0060032.mp4	cnvsrc-multi/dev/audio/v0060032.wav	327	209280
80230046	cnvsrc-multi/dev/video/80230046.mp4	cnvsrc-multi/dev/audio/80230046.wav	72	44384
80212190	cnvsrc-multi/dev/video/80212190.mp4	cnvsrc-multi/dev/audio/80212190.wav	77	48080
80091207	cnvsrc-multi/dev/video/80091207.mp4	cnvsrc-multi/dev/audio/80091207.wav	86	53664
80071101	cnvsrc-multi/dev/video/80071101.mp4	cnvsrc-multi/dev/audio/80071101.wav	61	37824
80013088	cnvsrc-multi/dev/video/80013088.mp4	cnvsrc-multi/dev/audio/80013088.wav	60	37360
80222244	cnvsrc-multi/dev/video/80222244.mp4	cnvsrc-multi/dev/audio/80222244.wav	90	56624
v0020055	cnvsrc-multi/dev/video/v0020055.mp4	cnvsrc-multi/dev/audio/v0020055.wav	415	265600
80113239	cnvsrc-multi/dev/video/80113239.mp4	cnvsrc-multi/dev/audio/80113239.wav	59	36160
v0040186	cnvsrc-multi/dev/video/v0040186.mp4	cnvsrc-multi/dev/audio/v0040186.wav	426	272640
80212068	cnvsrc-multi/dev/video/80212068.mp4	cnvsrc-multi/dev/audio/80212068.wav	65	40640
80102128	cnvsrc-multi/dev/video/80102128.mp4	cnvsrc-multi/dev/audio/80102128.wav	92	57472
v0040141	cnvsrc-multi/dev/video/v0040141.mp4	cnvsrc-multi/dev/audio/v0040141.wav	169	108160
v0200047	cnvsrc-multi/dev/video/v0200047.mp4	cnvsrc-multi/dev/audio/v0200047.wav	47	30080
v0170088	cnvsrc-multi/dev/video/v0170088.mp4	cnvsrc-multi/dev/audio/v0170088.wav	462	295680
80143139	cnvsrc-multi/dev/video/80143139.mp4	cnvsrc-multi/dev/audio/80143139.wav	81	50608
80082141	cnvsrc-multi/dev/video/80082141.mp4	cnvsrc-multi/dev/audio/80082141.wav	64	39872
80071074	cnvsrc-multi/dev/video/80071074.mp4	cnvsrc-multi/dev/audio/80071074.wav	54	33376
80211232	cnvsrc-multi/dev/video/80211232.mp4	cnvsrc-multi/dev/audio/80211232.wav	64	39440
